Date,Cases
2023-03-10,37103481.95604722
2023-03-11,37128122.93213364
2023-03-12,37150918.56113097
2023-03-13,37172495.1588146
2023-03-14,37194519.36529169
2023-03-15,37217988.97939201
2023-03-16,37243764.733341984
